"id","datetime","address","longitude","latitude","type_id","geo_updated","created_at"
65,"2016-04-17 20:05:00+03","г Москва, А-109 Ильинское шоссе","37.236495","55.75076",2,True,"2018-07-14 00:04:58.350434+03"
66,"2016-04-14 22:25:00+03","г Москва, А-106 Рублево-Успенское шоссе","37.1947","55.7169",2,True,"2018-07-14 00:04:58.353514+03"
67,"2016-04-13 17:25:00+03","г Москва, А-106 Рублево-Успенское шоссе","37.27011","55.712231",2,True,"2018-07-14 00:04:58.356719+03"
68,"2016-04-06 15:50:00+03","г Москва, А-109 Ильинское шоссе","37.307361","55.79934",2,True,"2018-07-14 00:04:58.363083+03"
596,"2016-04-18 19:10:00+03","","37.6144","55.8664",4,False,"2018-07-14 00:06:10.239378+03"
595,"2016-04-24 20:00:00+03","","37.3306","55.4972",1,False,"2018-07-14 00:06:10.241803+03"
437,"2015-11-06 15:15:00+03","","37.149444","55.901944",2,False,"2018-07-14 00:04:58.365995+03"
70,"2017-05-29 11:20:00+03","г Москва, А-109 Ильинское шоссе","37.270425","55.783255",2,True,"2018-07-14 00:04:58.372809+03"
438,"2015-11-06 12:20:00+03","","37.2025","55.747778",2,False,"2018-07-14 00:04:58.375071+03"
71,"2017-05-25 17:35:00+03","г Москва, А-106 Рублево-Успенское шоссе","37.03719","55.73508",2,True,"2018-07-14 00:04:58.378711+03"
72,"2017-05-25 16:00:00+03","г Москва, А-106 Рублево-Успенское шоссе","37.274436","55.678386",2,True,"2018-07-14 00:04:58.381944+03"
73,"2017-05-22 15:20:00+03","г Москва, А-106 Рублево-Успенское шоссе","37","55",4,True,"2018-07-14 00:04:58.385194+03"
598,"2016-04-14 21:00:00+03","","37.3767","55.5231",1,False,"2018-07-14 00:06:10.233546+03"
74,"2017-05-20 20:50:00+03","г Москва, А-106 Рублево-Успенское шоссе","37.179909","55.582856",2,True,"2018-07-14 00:04:58.390892+03"
597,"2016-04-15 13:00:00+03","","37.36866","55.503211",3,False,"2018-07-14 00:06:10.237176+03"
75,"2017-05-20 12:45:00+03","г Москва, А-106 Рублево-Успенское шоссе","37","55",2,True,"2018-07-14 00:04:58.394375+03"
76,"2017-05-15 18:35:00+03","г Москва, А-106 Рублево-Успенское шоссе","37.22867","55.736526",2,True,"2018-07-14 00:04:58.397894+03"
77,"2017-08-29 20:47:00+03","г Москва, М-9 Балтия Москва - Волоколамск - граница с Латвийской Республикой","37.35629","55.79387",2,True,"2018-07-14 00:04:58.401311+03"
822,"2015-03-16 11:50:00+03","г Москва, М-3 Украина Москва - Калуга - Брянск - граница с Украиной (основное направление)","37.189167","55.567778",2,True,"2018-07-14 00:06:58.607777+03"
991,"2015-12-05 22:00:00+03","д Румянцево, ул Центральная, 85","37.627274","56.092687",1,True,"2018-07-14 00:07:42.948731+03"
3,"2016-11-19 17:28:00+03","г Москва, А-109 Ильинское шоссе","37.16386","55.747025",1,True,"2018-07-14 00:04:57.817643+03"
79,"2017-08-18 20:30:00+03","г Москва, А-106 Рублево-Успенское шоссе","37.293925","55.744748",2,True,"2018-07-14 00:04:58.407845+03"
599,"2016-04-08 13:55:00+03","","37.370118","55.51001",1,False,"2018-07-14 00:06:10.231592+03"
81,"2017-08-10 10:40:00+03","г Москва, А-106 Рублево-Успенское шоссе","37.723","55.4154",2,True,"2018-07-14 00:04:58.414154+03"
1055,"2015-03-29 20:05:00+03","г Москва, ш Киевское, 23","37.456936","55.637759",2,True,"2018-07-14 00:07:41.064349+03"
5,"2016-11-12 17:15:00+03","г Москва, А-106 Рублево-Успенское шоссе","37.278348","55.725943",1,True,"2018-07-14 00:04:57.82655+03"
82,"2017-08-06 12:30:00+03","г Москва, А-109 Ильинское шоссе","37.252272","55.77056",2,True,"2018-07-14 00:04:58.417207+03"
84,"2017-08-03 18:40:00+03","г Москва, А-109 Ильинское шоссе","37","55",2,True,"2018-07-14 00:04:58.423973+03"
1068,"2018-05-02 19:45:00+03","г Московский, ул Хабарова, 9","37.3569","55.5969",2,True,"2018-07-14 00:07:39.995763+03"
85,"2017-08-01 14:55:00+03","г Москва, М-9 Балтия Москва - Волоколамск - граница с Латвийской Республикой","37.36685","55.79037",3,True,"2018-07-14 00:04:58.428808+03"
519,"2017-11-23 16:30:00+03","","37.465","55.1069",3,False,"2018-07-14 00:05:23.701456+03"
517,"2015-03-05 04:35:00+03","г Москва, ул Железнодорожная, 13","37.181665","55.604503",7,True,"2018-07-14 00:05:24.09454+03"
14,"2015-09-18 09:55:00+03","","37.293611","55.744444",2,False,"2018-07-14 00:04:57.865119+03"
87,"2015-05-31 10:10:00+03","г Москва, А-106 Рублево-Успенское шоссе","37.294167","55.744444",2,True,"2018-07-14 00:04:58.435529+03"
88,"2015-05-31 16:25:00+03","г Москва, А-109 Ильинское шоссе","37.237222","55.758056",2,True,"2018-07-14 00:04:58.438696+03"
823,"2015-03-15 19:50:00+03","д Большое Свинорье, ул Центральная, 36 А","37.14","55.578056",1,False,"2018-07-14 00:06:59.129725+03"
600,"2016-04-05 08:00:00+03","","37.3289","55.5017",1,False,"2018-07-14 00:06:10.229659+03"
